1,616,8
1,982,5
1,1548,10
1,1818,2
1,5665,8
1,7256,6
1,8747,1
1,9368,1
2,308,4
2,326,1
2,1223,10
2,1644,5
2,1648,3
2,1785,8
2,2000,9
2,2123,8
2,2386,2
2,2914,10
2,2977,10
2,3678,1
2,3864,5
2,4020,8
2,4332,10
2,4445,8
2,4520,8
2,4626,10
2,4991,6
2,5175,10
2,5441,10
2,5808,8
2,6379,5
2,6444,10
2,6547,1
2,6873,10
2,7044,8
2,7439,10
2,7602,7
2,7681,1
2,7721,8
2,8313,6
2,8500,3
2,9351,1
2,9544,3
3,595,7
3,897,8
3,985,4
3,1970,2
3,3238,6
3,3573,8
3,3983,5
3,4168,6
3,5278,6
3,5762,10
3,6097,8
3,6890,6
3,7250,10
3,8019,10
3,8271,7
3,8755,6
3,9191,10
4,624,5
4,896,4
4,1436,4
4,2027,10
4,2615,6
4,3167,2
4,4561,5
4,5572,9
4,5575,4
4,5964,1
4,6029,4
4,6652,7
4,6805,1
4,8404,5
4,9124,1
5,362,8
5,385,10
5,612,6
5,1025,10
5,1389,3
5,1926,3
5,2779,2
5,3369,3
5,3379,6
5,3506,2
5,4450,1
5,5448,10
5,5881,10
5,8306,10
5,8370,10
5,9021,8
5,9370,7
5,9646,4
6,181,6
6,562,2
6,682,7
6,898,5
6,1015,3
6,1970,2
6,1992,7
6,3782,5
6,4452,5
6,4793,4
6,5890,9
6,6002,8
6,6168,8
6,6242,5
6,6882,4
6,7646,6
6,8670,8
6,9184,7
6,9446,4
7,269,5
7,1494,6
7,1784,1
7,2059,5
7,2410,8
7,2475,7
7,2844,5
7,2931,3
7,2938,7
7,3171,4
7,3411,3
7,3770,10
7,4323,10
7,4568,4
7,5399,10
7,5633,1
7,5822,9
7,6945,10
7,7627,9
7,8390,7
7,9429,5
7,9441,10
7,9748,10
8,1265,8
8,1431,8
8,1578,5
8,4075,10
8,4529,6
8,6280,10
8,7275,1
8,7966,3
8,9348,8
8,9579,10
8,9799,4
9,864,1
9,3584,10
9,3692,5
9,5926,3
9,6535,1
9,7274,2
9,8404,1
9,9928,2
10,869,8
10,1418,10
10,1510,7
10,1845,8
10,1846,5
10,2059,5
10,2128,4
10,2197,5
10,2605,1
10,3095,7
10,3594,5
10,4575,9
10,4592,2
10,4617,10
10,5101,2
10,6001,1
10,6205,9
10,7238,7
10,8358,9
10,8644,7
10,9088,8
11,31,6
11,203,10
11,829,10
11,1473,10
11,1583,9
11,1727,1
11,1973,10
11,2465,8
11,4901,10
11,4918,8
11,5461,10
11,5487,10
11,6911,1
11,7154,10
11,7282,10
11,8612,9
11,9279,8
11,9572,10
11,9960,5
12,9,6
12,111,8
12,134,1
12,286,1
12,293,10
12,321,1
12,335,6
12,741,8
12,1061,8
12,1083,1
12,1106,2
12,1408,10
12,1453,1
12,1480,10
12,1508,8
12,1567,1
12,1744,7
12,1999,2
12,2068,5
12,2349,4
12,2628,2
12,2850,9
12,3050,9
12,3185,8
12,3276,9
12,3477,8
12,3725,9
12,3765,1
12,4044,1
12,4505,4
12,4795,9
12,4909,6
12,4990,10
12,5978,9
12,6090,10
12,6569,10
12,6979,1
12,7152,6
12,7197,5
12,7232,3
12,7239,1
12,7361,5
12,7428,10
12,7741,8
12,7854,10
12,8565,6
12,8788,8
12,8856,1
12,8918,6
12,8944,6
12,9308,8
12,9320,7
12,9727,5
12,9761,10
12,9866,8
12,9898,1
13,73,10
13,270,10
13,337,6
13,479,6
13,827,1
13,1292,7
13,1340,3
13,1654,2
13,2147,9
13,2265,1
13,2519,1
13,3135,5
13,3931,1
13,4037,10
13,4196,8
13,4214,10
13,4272,7
13,4342,9
13,4785,10
13,5410,6
13,6736,8
13,6780,8
13,7105,1
13,7125,10
13,7982,6
13,8627,2
13,8718,6
13,8978,2
13,9136,9
13,9163,4
13,9641,10
13,9861,7
14,783,10
14,875,10
14,1249,1
14,1605,6
14,2032,6
14,2090,4
14,2479,10
14,2989,6
14,3436,4
14,4553,7
14,4643,2
14,5098,7
14,5523,7
14,5538,6
14,5820,10
14,6005,6
14,6412,6
14,6625,6
14,6768,4
14,8274,5
14,8302,1
14,8530,5
14,9298,8
14,9390,9
14,9461,7
14,9503,1
14,9516,5
15,282,5
15,287,8
15,356,1
15,482,7
15,789,5
15,943,10
15,1051,6
15,1214,4
15,1493,1
15,1580,3
15,1912,4
15,2169,1
15,2355,1
15,2757,8
15,2919,10
15,3082,1
15,3346,7
15,3530,8
15,3836,8
15,3847,10
15,3928,10
15,4137,4
15,4318,10
15,4729,8
15,4909,7
15,4993,9
15,5003,7
15,5636,8
15,5681,10
15,5891,8
15,6175,3
15,6196,5
15,6370,1
15,6400,7
15,6768,10
15,7266,1
15,7473,5
15,7790,4
15,8015,10
15,8169,10
15,8822,10
15,9133,5
15,9496,1
15,9769,10
16,243,10
16,1592,1
16,2518,1
16,4005,3
16,4091,5
16,4299,10
16,4989,6
16,5533,10
16,6909,5
16,7876,9
16,8171,1
16,8222,3
16,8370,10
16,8570,8
17,721,1
17,1652,1
17,1832,10
17,1978,4
17,2985,2
17,3824,4
17,4139,10
17,5019,1
17,5489,1
17,6015,1
17,6637,10
17,7375,4
18,790,6
18,871,9
18,898,5
18,1178,9
18,1187,10
18,2779,2
18,3954,9
18,4799,9
18,4840,6
18,6617,5
18,7208,7
18,8625,3
18,8744,10
18,8786,10
19,893,1
19,1863,1
19,2365,8
19,2985,1
19,3293,6
19,3747,9
19,3814,4
19,4614,9
19,4941,5
19,5243,8
19,5843,1
19,6137,1
19,6513,2
19,6779,10
19,7733,3
19,8665,1
19,8712,2
19,8889,2
19,9931,1
20,364,10
20,371,7
20,844,5
20,1082,4
20,2596,5
20,3111,5
20,3332,10
20,4849,3
20,6356,10
20,6439,7
20,7265,9
20,7691,9
20,8452,5
21,19,5
21,308,5
21,1349,5
21,1761,1
21,1843,8
21,2525,7
21,3776,10
21,4410,8
21,5016,5
21,5102,5
21,6326,1
21,6812,8
21,8104,2
21,8420,4
21,9173,6
21,9226,7
21,9363,9
22,251,5
22,280,10
22,472,7
22,530,9
22,586,10
22,1025,10
22,1365,7
22,2310,3
22,2372,8
22,3064,8
22,3148,9
22,3152,10
22,3752,7
22,3904,6
22,4012,7
22,4013,10
22,4074,10
22,4796,1
22,5253,10
22,5902,6
22,6298,9
22,6312,10
22,7023,10
22,7292,7
22,7947,7
22,8373,6
22,8609,10
22,8713,1
22,8957,10
22,9326,6
22,9342,6
22,9802,8
23,181,3
23,767,4
23,1074,10
23,1132,1
23,1422,9
23,1460,5
23,2260,6
23,2809,6
23,2831,2
23,2904,7
23,3904,7
23,4063,7
23,4075,10
23,6873,10
23,7039,5
23,7288,6
23,7612,4
23,7620,10
23,8035,7
23,8369,4
23,9274,5
24,90,6
24,1065,6
24,1155,8
24,1965,5
24,1992,9
24,2115,9
24,2190,9
24,2214,5
24,2470,8
24,2707,7
24,2709,8
24,2944,3
24,2996,10
24,3141,10
24,3267,5
24,3309,10
24,3404,7
24,3532,7
24,3574,7
24,3834,7
24,4064,6
24,4610,10
24,4640,9
24,4898,7
24,5580,8
24,5778,8
24,5795,2
24,5942,10
24,6397,6
24,6398,4
24,6403,8
24,6523,9
24,6687,5
24,6818,1
24,6849,1
24,6877,7
24,7039,6
24,7069,10
24,7166,10
24,7282,10
24,7600,5
24,7716,7
24,7831,3
24,9452,10
24,9541,8
24,9573,2
24,9657,10
24,9714,6
25,160,1
25,326,8
25,1390,10
25,1781,10
25,1814,10
25,1894,8
25,2198,10
25,2216,1
25,2254,10
25,3211,1
25,3705,10
25,4166,4
25,4224,10
25,4530,2
25,4623,1
25,4991,6
25,5036,8
25,5387,7
25,5754,7
25,5931,2
25,6081,10
25,6353,10
25,6437,10
25,6516,9
25,6883,10
25,6890,10
25,6997,10
25,7389,7
25,7547,9
25,7651,9
25,7875,9
25,7981,10
25,8014,8
25,8387,9
25,8514,10
25,8776,10
25,9154,7
25,9389,10
25,9451,10
26,12,10
26,55,6
26,85,8
26,514,5
26,848,5
26,1141,10
26,1208,10
26,1226,2
26,1282,5
26,1709,1
26,1853,6
26,2263,4
26,2562,9
26,2661,7
26,2784,4
26,3027,3
26,3283,7
26,3291,10
26,3327,8
26,3495,7
26,3614,10
26,3673,7
26,3744,10
26,3836,2
26,4009,6
26,4055,4
26,4229,8
26,4404,7
26,4436,5
26,4753,8
26,4805,1
26,5077,5
26,5221,10
26,5438,6
26,5471,7
26,5498,9
26,5691,8
26,5978,8
26,6193,2
26,6217,8
26,6356,10
26,6611,7
26,7049,6
26,7317,9
26,7345,9
26,7365,7
26,7523,10
26,7590,6
26,7950,7
26,8131,7
26,8137,7
26,8317,5
26,8367,10
26,8543,2
26,8794,9
26,8856,10
26,9289,10
26,9306,8
26,9511,7
26,9935,8
26,9968,10
27,50,10
27,269,10
27,559,3
27,1104,7
27,1788,6
27,2306,6
27,2312,10
27,2314,7
27,3526,3
27,4323,10
27,6096,10
27,6526,1
27,6993,6
27,8018,10
27,8483,10
27,9046,5
27,9442,10
27,9559,6
28,550,5
28,1168,6
28,1284,7
28,1615,10
28,1758,9
28,2355,5
28,2377,1
28,2994,10
28,3790,3
28,3806,9
28,4035,3
28,4507,8
28,4862,2
28,5016,5
28,5425,1
28,5552,5
28,5611,2
28,5644,1
28,5709,4
28,7289,7
28,7338,10
28,7348,2
28,7486,4
28,8138,1
28,8334,10
28,8382,3
28,8406,9
28,8630,6
28,8722,9
28,9363,8
28,9696,10
28,9721,8
29,74,2
29,280,10
29,577,10
29,602,10
29,1447,8
29,2186,10
29,2310,6
29,2678,5
29,2859,10
29,2883,10
29,3409,10
29,3505,10
29,4066,10
29,4152,8
29,4274,6
29,4375,10
29,5048,7
29,5076,10
29,5508,5
